2020-05-21 20:01:29.820 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker(330) - Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$f1d24425] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-05-21 20:01:36.342 [main] INFO  c.s.c.redis.service.impl.RedisDistributedLockTest(59) - Started RedisDistributedLockTest in 7.57 seconds (JVM running for 9.326)
2020-05-21 20:01:36.634 [main] INFO  c.s.c.redis.service.impl.RedisDistributedLockTest(52) - error
2020-05-21 20:01:36.848 [Thread-6] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory(71) - Setting initial instance status as: STARTING
2020-05-21 20:01:36.908 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(349) - Initializing Eureka in region us-east-1
2020-05-21 20:01:36.986 [Thread-6] INFO  c.n.discovery.provider.DiscoveryJerseyProvider(70) - Using JSON encoding codec LegacyJacksonJson
2020-05-21 20:01:36.986 [Thread-6] INFO  c.n.discovery.provider.DiscoveryJerseyProvider(71) - Using JSON decoding codec LegacyJacksonJson
2020-05-21 20:01:37.165 [Thread-6] INFO  c.n.discovery.provider.DiscoveryJerseyProvider(80) - Using XML encoding codec XStreamXml
2020-05-21 20:01:37.166 [Thread-6] INFO  c.n.discovery.provider.DiscoveryJerseyProvider(81) - Using XML decoding codec XStreamXml
2020-05-21 20:01:37.389 [Thread-6] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver(43) - Resolving eureka endpoints via configuration
2020-05-21 20:01:37.421 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(958) - Disable delta property : false
2020-05-21 20:01:37.422 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(959) - Single vip registry refresh property : null
2020-05-21 20:01:37.422 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(960) - Force full registry fetch : false
2020-05-21 20:01:37.422 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(961) - Application is null : false
2020-05-21 20:01:37.423 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(962) - Registered Applications size is zero : true
2020-05-21 20:01:37.423 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(964) - Application version is -1: true
2020-05-21 20:01:37.423 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(1047) - Getting all instance registry info from the eureka server
2020-05-21 20:01:37.499 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(1264) - Starting heartbeat executor: renew interval is: 30
2020-05-21 20:01:37.503 [Thread-6] INFO  com.netflix.discovery.InstanceInfoReplicator(60) - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-05-21 20:01:37.508 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(449) - Discovery Client initialized at timestamp 1590062497507 with initial instances count: 0
2020-05-21 20:01:37.515 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(888) - Shutting down DiscoveryClient ...
2020-05-21 20:01:40.519 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(922) - Unregistering ...
2020-05-21 20:01:40.534 [Thread-6] INFO  com.netflix.discovery.DiscoveryClient(911) - Completed shut down of DiscoveryClient
2020-05-21 20:01:40.536 [Thread-6] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor(208) - Shutting down ExecutorService 'applicationTaskExecutor'
2020-05-21 20:01:40.562 [Thread-6] INFO  com.netflix.config.sources.URLConfigurationSource(122) - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
